Year;Date;Time;Round;Stadium;City;Country;Team;Team G;Opponent;Opponent G;Observation
1950;1950-07-09 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Uruguay;2;Spain;2;" "
1950;1950-07-13 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;6;Spain;1;" "
1950;1950-07-13 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Spain;1;Brazil;6;" "
1950;1950-07-13 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Sweden;2;Uruguay;3;" "
1950;1950-07-13 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Uruguay;3;Sweden;2;" "
1950;1950-07-16 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Brazil;1;Uruguay;2;" "
1950;1950-07-16 00:00:00.000;" 15:00 ";Group 6;Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho;"Rio De Janeiro ";Brazil;Uruguay;2;Brazil;1;" "
1950;1950-07-16 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Spain;1;Sweden;3;" "
1950;1950-07-16 00:00:00.000;" 15:00 ";Group 6;Pacaembu;"Sao Paulo ";Brazil;Sweden;3;Spain;1;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 1;Charmilles;"Geneva ";Switzerland;Brazil;5;Mexico;0;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 1;Charmilles;"Geneva ";Switzerland;Mexico;0;Brazil;5;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 1;La Pontaise;"Lausanne ";Switzerland;France;0;Yugoslavia;1;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 1;La Pontaise;"Lausanne ";Switzerland;Yugoslavia;1;France;0;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 3;Hardturm;"Zurich ";Switzerland;Austria;1;Scotland;0;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 3;Hardturm;"Zurich ";Switzerland;Scotland;0;Austria;1;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 3;Wankdorf Stadium;"Berne ";Switzerland;Czechoslovakia;0;Uruguay;2;" "
1954;1954-06-16 00:00:00.000;" 18:00 ";Group 3;Wankdorf Stadium;"Berne ";Switzerland;Uruguay;2;Czechoslovakia;0;" "
1954;1954-06-17 00:00:00.000;" 17:50 ";Group 4;La Pontaise;"Lausanne ";Switzerland;Italy;1;Switzerland;2;" "
1954;1954-06-17 00:00:00.000;" 17:50 ";Group 4;La Pontaise;"Lausanne ";Switzerland;Switzerland;2;Italy;1;" "
1954;1954-06-17 00:00:00.000;" 18:00 ";Group 2;Hardturm;"Zurich ";Switzerland;Hungary;9;Korea Republic;0;" "
1954;1954-06-17 00:00:00.000;" 18:00 ";Group 2;Hardturm;"Zurich ";Switzerland;Korea Republic;0;Hungary;9;" "
1954;1954-06-17 00:00:00.000;" 18:00 ";Group 2;Wankdorf Stadium;"Berne ";Switzerland;Germany FR;4;Turkey;1;" "
1954;1954-06-17 00:00:00.000;" 18:00 ";Group 2;Wankdorf Stadium;"Berne ";Switzerland;Turkey;1;Germany FR;4;" "
1954;1954-06-17 00:00:00.000;" 18:10 ";Group 4;St. Jakob;"Basel ";Switzerland;Belgium;4;England;4;" "
1954;1954-06-17 00:00:00.000;" 18:10 ";Group 4;St. Jakob;"Basel ";Switzerland;England;4;Belgium;4;" "
1954;1954-06-19 00:00:00.000;" 16:50 ";Group 3;St. Jakob;"Basel ";Switzerland;Scotland;0;Uruguay;7;" "
1954;1954-06-19 00:00:00.000;" 16:50 ";Group 3;St. Jakob;"Basel ";Switzerland;Uruguay;7;Scotland;0;" "
1954;1954-06-19 00:00:00.000;" 17:00 ";Group 1;La Pontaise;"Lausanne ";Switzerland;Brazil;1;Yugoslavia;1;" "
1954;1954-06-19 00:00:00.000;" 17:00 ";Group 1;La Pontaise;"Lausanne ";Switzerland;Yugoslavia;1;Brazil;1;" "
1954;1954-06-19 00:00:00.000;" 17:00 ";Group 3;Hardturm;"Zurich ";Switzerland;Austria;5;Czechoslovakia;0;" "
1954;1954-06-19 00:00:00.000;" 17:00 ";Group 3;Hardturm;"Zurich ";Switzerland;Czechoslovakia;0;Austria;5;" "
1954;1954-06-19 00:00:00.000;" 17:10 ";Group 1;Charmilles;"Geneva ";Switzerland;France;3;Mexico;2;" "
1954;1954-06-19 00:00:00.000;" 17:10 ";Group 1;Charmilles;"Geneva ";Switzerland;Mexico;2;France;3;" "
1954;1954-06-20 00:00:00.000;" 16:50 ";Group 2;St. Jakob;"Basel ";Switzerland;Germany FR;3;Hungary;8;" "
1954;1954-06-20 00:00:00.000;" 16:50 ";Group 2;St. Jakob;"Basel ";Switzerland;Hungary;8;Germany FR;3;" "
1954;1954-06-20 00:00:00.000;" 17:00 ";Group 2;Charmilles;"Geneva ";Switzerland;Korea Republic;0;Turkey;7;" "
1954;1954-06-20 00:00:00.000;" 17:00 ";Group 2;Charmilles;"Geneva ";Switzerland;Turkey;7;Korea Republic;0;" "
1954;1954-06-20 00:00:00.000;" 17:00 ";Group 4;Comunale di Cornaredo;"Lugano ";Switzerland;Belgium;1;Italy;4;" "
1954;1954-06-20 00:00:00.000;" 17:00 ";Group 4;Comunale di Cornaredo;"Lugano ";Switzerland;Italy;4;Belgium;1;" "
1954;1954-06-20 00:00:00.000;" 17:10 ";Group 4;Wankdorf Stadium;"Berne ";Switzerland;England;2;Switzerland;0;" "
1954;1954-06-20 00:00:00.000;" 17:10 ";Group 4;Wankdorf Stadium;"Berne ";Switzerland;Switzerland;0;England;2;" "
1954;1954-06-23 00:00:00.000;" 18:00 ";Group 2;Hardturm;"Zurich ";Switzerland;Germany FR;7;Turkey;2;" "
1954;1954-06-23 00:00:00.000;" 18:00 ";Group 2;Hardturm;"Zurich ";Switzerland;Turkey;2;Germany FR;7;" "
1954;1954-06-23 00:00:00.000;" 18:00 ";Group 4;St. Jakob;"Basel ";Switzerland;Italy;1;Switzerland;4;" "
1954;1954-06-23 00:00:00.000;" 18:00 ";Group 4;St. Jakob;"Basel ";Switzerland;Switzerland;4;Italy;1;" "
1954;1954-06-26 00:00:00.000;" 17:00 ";Quarter-finals;La Pontaise;"Lausanne ";Switzerland;Austria;7;Switzerland;5;" "
1954;1954-06-26 00:00:00.000;" 17:00 ";Quarter-finals;La Pontaise;"Lausanne ";Switzerland;Switzerland;5;Austria;7;" "
1954;1954-06-26 00:00:00.000;" 17:00 ";Quarter-finals;St. Jakob;"Basel ";Switzerland;England;2;Uruguay;4;" "
1954;1954-06-26 00:00:00.000;" 17:00 ";Quarter-finals;St. Jakob;"Basel ";Switzerland;Uruguay;4;England;2;" "
1954;1954-06-27 00:00:00.000;" 17:00 ";Quarter-finals;Charmilles;"Geneva ";Switzerland;Germany FR;2;Yugoslavia;0;" "
1954;1954-06-27 00:00:00.000;" 17:00 ";Quarter-finals;Charmilles;"Geneva ";Switzerland;Yugoslavia;0;Germany FR;2;" "
