Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1958;1958-06-29 00:00:00.000;" 15:00 ";Final;Rasunda Stadium;"Solna ";Sweden;Brazil;5;2;Sweden;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Uruguay;2;1;Colombia;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;2;0;Mexico;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Argentina;1;0;Bulgaria;" "
1962;1962-05-30 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Chile;3;1;Switzerland;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Soviet Union;2;0;Yugoslavia;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Czechoslovakia;1;0;Spain;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Hungary;2;1;England;" "
1962;1962-05-31 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Germany FR;0;0;Italy;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Yugoslavia;3;1;Uruguay;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;0;0;Czechoslovakia;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;England;3;1;Argentina;" "
1962;1962-06-02 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Chile;2;0;Italy;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Soviet Union;4;4;Colombia;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Spain;1;0;Mexico;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Hungary;6;1;Bulgaria;" "
1962;1962-06-03 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Germany FR;2;1;Switzerland;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Soviet Union;2;1;Uruguay;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;2;1;Spain;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;Hungary;0;0;Argentina;" "
1962;1962-06-06 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Germany FR;2;0;Chile;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 1;Carlos Dittborn;"Arica ";Chile;Yugoslavia;5;0;Colombia;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 3;Estadio Sausalito;"Vina Del Mar ";Chile;Mexico;3;1;Czechoslovakia;" "
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 4;Estadio El Teniente-Codelco;"Rancagua ";Chile;England;0;0;Bulgaria;" "
